component,base_quantity,unit,DS1_n,DS1_1_w,DS1_1_distribution,DS1_1_theta0,DS1_1_theta1,DS1_2_w,DS1_2_distribution,DS1_2_theta0,DS1_2_theta1,DS2_n,DS2_1_w,DS2_1_distribution,DS2_1_theta0,DS2_1_theta1,DS3_n,DS3_1_w,DS3_1_distribution,DS3_1_theta0,DS3_1_theta1,description
B1031.001,1,ea,2,0.95,normal,"10536,8176|5,20",0.38359,0.05,normal,"16536,10176|5,20",0.3706,1,1,normal,"15564,11024.5|5,20",0.37889,1,1,normal,"15264,10812|5,20",0.38359,Bolted shear tab gravity connections
B1031.011a,1,ea,2,0.95,lognormal,"5000,2000|5,20",0.25,0.05,lognormal,"25363,15608|5,20",0.407,1,1,lognormal,"31464,22287|5,20",0.3664,1,1,lognormal,"36744,26027|5,20",0.3434,"Steel Column Base Plates, Column W < 150 plf"
B1031.011b,1,ea,2,0.95,lognormal,"5000,2000|5,20",0.25,0.05,lognormal,"26403,16248|5,20",0.3916,1,1,lognormal,"33864,23987|5,20",0.3418,1,1,lognormal,"41544,29427|5,20",0.3058,"Steel Column Base Plates, Column 150 plf < W < 300 plf"
B1031.021a,1,ea,2,0.95,lognormal,"5000,2000|5,20",0.25,0.05,lognormal,"12142,7472|5,20",0.3248,1,1,lognormal,"13608,9639|5,20",0.302,,,,,,"Welded column splices, Column W < 150 plf"
B1035.001,1,ea,1,1,normal,"21750,14790|3,7",0.35285,,,,,1,1,normal,"36625,24905|3,7",0.3054,1,1,normal,"36625,24905|3,7",0.3054,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth <= W27"
B1035.002,1,ea,1,1,normal,"23000,15640|3,7",0.3321,,,,,1,1,normal,"40500,27540|3,7",0.284,1,1,normal,"40500,27540|3,7",0.284,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth >= W30"
B1035.011,1,ea,1,1,normal,"37500,25500|3,7",0.32749,,,,,1,1,normal,"65375,44455|3,7",0.27643,1,1,normal,"65375,44455|3,7",0.27643,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth <= W27"
B1035.012,1,ea,1,1,normal,"40000,27200|3,7",0.3096,,,,,1,1,normal,"73125,49725|3,7",0.2479,1,1,normal,"38880,25920|3,7",0.284,"Post-Northridge welded steel moment connection other than RBS, beam one side, beam depth >= W30"
B2011.101,100,ft2,1,1,lognormal,"2990,1840|3,8",0.25663,,,,,1,1,lognormal,"3300,2337.5|3,8",0.36907,1,1,normal,"5400,3825|3,8",0.10978,"Exterior Wall - Light framed wood walls with structural panel sheathing, gypsum wallboard no hold-downs"
B2022.001,30,ft2,1,1,lognormal,"2055,1096|20,100",0.1668,,,,,1,1,lognormal,"2055,1096|20,100",0.1668,,,,,,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown"
B3011.011,100,ft2,1,1,lognormal,"840,490|13,130",0.57618,,,,,1,1,lognormal,"2220,1184|13,130",0.30743,,,,,,"Concrete tile roof, tiles secured and compliant with UBC94"
C1011.001a,100,ft,1,1,normal,"2677.5,1428|1,10",0.48138,,,,,1,1,lognormal,"6825,3640|1,10",0.55591,1,1,lognormal,"10500,7437.5|1,10",0.19586,"Wall Partition, Type: Gypsum with metal studs, Full Height, Fixed Below, Fixed Above"
C2011.001a,1,ea,1,1,normal,"4340,1302|1,10",0.45861,,,,,1,1,normal,"11100,3330|1,10",0.48592,1,1,lognormal,"33900,10170|1,10",0.23515,Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.
C3021.001k,1,ft2,1,1,normal,"58.8,17.64|500,2000",0.34557,,,,,,,,,,,,,,,Generic Floor Covering - Flooding of floor caused by failure of pipe - Retail - Dry
C3027.001,100,ft2,1,1,lognormal,"138,92|5,20",1.28411,,,,,,,,,,,,,,,"Raised Access Floor, non seismically rated."
